RequirementText_string,Class
system shall expected manage nursing program curriculum class clinical scheduling minimum five point zero year ,SC
system shall able operate within business office environment typical nursing department depaul university ,O
system shall used within specification defined computer used program administrator nursing staff member ,O
system shall operate within window xp professional operating system ,O
system shall interface campusconnects central server ,O
system shall interface faculty central server ,O
system shall interface student master server ,O
must able interface html browser ,O
authorized user shall access clinical site information ,SE
program administrator nursing staff member people shall access clinical site detail ,SE
authorized user shall access student personal information ,SE
dr susan poslusny dr julie donalek people shall access student personal information ,SE
authorized user shall access portion system interface campusconnect ,SE
fit criterion dr susan poslusny karen sysol people shall access final class section scheduling system interface campusconnect ,SE
system shall basic data integrity checking reduce possibility incorrect invalid data introduced ,SE
system shall protect private information accordance organization information policy ,SE
system shall built secure possible malicious interference ,SE
system shall use organization standard virus protection software help monitor threat ,SE
dispute application shall comply corporate standard user interface creation internally externally used application ,LF
screen created part dispute application must comply corporate standard interface creation ,LF
list dispute case displayed search performed must color coded easy identification dispute case based upon dispute case status ,US
one hundred point zero card member merchant service representative shall use dispute application regularly two point zero day training course ,US
one hundred point zero cardmember service representative shall able successfully create dispute case first encounter completing training course ,US
one hundred point zero merchant service representative shall able successfully perform follow action dispute case first encounter completing training course ,US
maximum wait time user navigating one screen another within dispute application shall five point zero second ,PE
dispute application shall support three hundred and fifty point zero concurrent user without degradation performance application ,PE
dispute application shall available twenty-four point zero x seven point zero x three hundred and sixty-five point zero exception following scheduled maintenance window monday saturday three hundred point zero four hundred point zero est sunday one hundred point zero amd five hundred point zero est ,O
dispute application shall interface statement database statement database provides transaction detail dispute system transaction detail must obtained statement database ,O
dispute application shall interface cardmember information database cardmember information database provides detailed information regard cardmember cardmember detail information must obtained cardmember information database ,O
dispute application shall interface merchant information database merchant information database provides detailed information regard merchant merchant detail information shall obtained merchant information database ,O
dispute application shall interface letter application allow dispute application request letter part dispute initiation dispute follow process letter request must sent print letter utility application ,O
dispute application shall interface cardmember posting billing system allow dispute application request adjustment cardmember merchant account adjustment request must sent cardmember posting billing system ,O
dispute application shall ensure user appropriate access level allowed initiate dispute request ,SE
user update access must able initiate dispute request ,SE
dispute application shall ensure authorized user allowed logon application ,SE
authorized user authenticated must able logon dispute system ,SE
dispute system shall generate user report detail new user added change existing user access level report reviewed auditing purpose ,SE
addition new user modification user access shall recorded user report ,SE
user account revoked reinstantiated system administrator ,SE
system administrator shall able reset revoked user logon account ,SE
dispute application shall manipulate view business data user direct access data file database ,SE
update data file database must initiated dispute system ,SE
dispute application must conform legal requirement specified merchant operating regulation ,L
business rule specified dispute system shall compliance merchant operating regulation ,L
dispute application must conform legal requirement specified regulation e regulation z govern credit card dispute processing ,L
business rule specified dispute system shall compliance guideline regulation e regulation z ,L
dispute application must maintain detailed history every action user take dispute case ensures complete audit trail question arise later regard particular dispute case ,L
product must support internet explorer fifty-five point zero ,O
product must support mozilla firefox ten point zero ,O
product shall interface choice part system provides feed recycled part data ,O
product shall run existing hardware environment ,O
product shall adhere corporate architecture guideline ,O
product shall comply corporate user interface guideline ,LF
product shall comply corporate color scheme ,LF
appearance product shall appear professional ,LF
product shall easy use adjuster collision estimator ninety-five point zero adjuster collision estimator shall find product easy use ,US
product shall increase productivity collision estimator eighty point zero collision estimator shall agree productivity increase within one point zero month using product ,US
user shall feel satisfied using product eighty-five point zero user satisfied product ,US
product shall easy learn adjuster collision estimator product shall learned two day onsite training ,US
user shall easily locate instruction using product user help found within ninety point zero system ,US
search recycled part shall take longer fifteen point zero second search result shall returned fifteen point zero second ,PE
search preferred repair facility shall take longer eight point zero second preferred repair facility returned within eight point zero second ,PE
recycled part audit report shall returned user within ten point zero second audit report shall returned within ten point zero second ,PE
preferred repair facility rating shall saved within five point zero second save shall occur within five point zero second ,PE
product shall adhere corporate online availability schedule application brought within ninety-eight point zero scheduled outage per availability schedule ,A
"product shall able handle one thousand, five hundred point zero simultaneous user system shall perform one thousand, five hundred point zero user time ",SC
average number recycled part record per day shall fifty thousand point zero ,SC
product shall able handle ten thousand point zero concurrent user within two point zero year initial launch ,SC
estimator product shall able operated repair facility dirty noisy condition ,O
product shall supported using corporate support center ,O
product installation upgrade shall handled middleware technology team within established launch time frame ,O
adjuster request recycled part audit report user without adjuster role shall request recycled part audit ,SE
adjuster supervisor role update preferred repair facility rating user without supervisor role can not access repair facility rating ,SE
collision estimator shall search recycled part user without collision estimator role shall access search recycled part ,SE
valid data shall entered system invalid data shall entered system ,SE
system shall prevent malicious attack including denial service ,SE
product must comply sarbanesoxley ,L
product shall comply insurance regulation regarding claim processing ,L
product must work database management system dbms market whether dbms colocated product machine located different machine computer network ,O
product function alongside server software operating system java runtime installed ,O
product require collaboration database management system dbms dbms may located machine product separate machine residing computer network ,O
product must make use web application server technology open source example include apache web server tomcat jboss application server ,O
database management system oracle db2 mysql hsql need integrated product ,O
product look feel shall able incorporate aspect customer organization logo branding identity ,LF
product shall conservative professional appearance ,LF
product shall make user want use eighty point zero user surveyed report regularly using product first two point zero week postlaunch ,US
product shall easy use ninety point zero user able successfully reserve conference room within five point zero minute product use ,US
product shall give user feedback necessary eighty point zero user surveyed report product accurately confirms action ,US
product shall allow user select chosen language one target market country ,US
product shall allow customization start page view preference ,US
employee able successfully use product within minute informally navigating product le fifteen point zero minute user shall able successfully setup meeting reserve conference room ,US
product shall use standard navigation menu familiar web user ,US
product shall allow intuitive searching available conference room ,US
product shall conform american disability act ,US
response shall fast enough avoid interrupting user flow thought ninety point zero task shall complete within five point zero second ninety-eight point zero task shall complete within eight point zero second ,PE
"aside server failure software product shall achieve nine thousand, nine hundred and ninety-nine point zero time ",A
product shall create exception log problem encountered within product transmission company analysis resolution ,FT
product shall capable handling one thousand point zero concurrent request number increase two thousand point zero release two point zero concurrency capacity must able handle peak scheduling time early morning late afternoon hour ,SC
product shall able process ten thousand point zero transaction per hour within two year launch number increase twenty thousand point zero release two point zero ,SC
product shall expected operate least five point zero year customer installation ,SC
product shall used office environment ,O
product must able interface html browser product shall transmit data user product without problem product shall display html properly eighty point zero html browser tested minimum test eight point zero browser ,O
product must able interface various database management system product shall communicate successfully database management system one hundred point zero transaction ,O
product must able interface various email server product shall able send email ,O
product shall available distribution via internet binary zip file ,O
product shall available distribution packaged cd ,O
product available licensing one server two five server five server license ,O
new user must able added system within ten point zero minute ninety point zero new user able log system within ten point zero minute ,US
product must designed using design pattern coding best practice ninety point zero maintenance software developer able integrate new functionality product two point zero working day ,MN
product must highly configurable use various database management system end user eighty point zero end user able integrate new database management system product without changing product software code ,MN
maintenance release offered customer year release shall take longer five point zero minute eighty point zero customer base install ,MN
every registered user access product support site via internet seventy point zero registered user shall find solution problem within five point zero minute using support site ,US
customer shall able easily integrate new building map product throughout product lifecycle integration new map product shall possible little support product support staff ,MN
product shall translated foreign language target market country language future release emerging target market shall take five point zero day configure product market language ,US
product expected integrate multiple database management system product operate oracle sql server db2 mysql hsql m access ,O
product shall able installed operating environment within two point zero day ,O
product shall ensure company employee external user companyapproved user id may product access one hundred point zero logons shall either company employee external user companyapproved user id ,SE
manager able perform search query reservation user one hundred point zero search query reservation user shall logons management logons ,SE
product shall ensure database data corresponds data entered user conference room reservation system contain information entered user ,SE
product shall prevent input malicious data product adjacent hardware software system data shall remain one hundred point zero uncorrupted time malicious data input product ,SE
product dependent database filesystems shall remain operational result input malicious data product dependent database filesystems shall crash one hundred point zero time malicious data input product ,FT
product shall ability receive automatic software update new threat emerge one hundred point zero customer able receive automatic software update transmitted installed product ,SE
language product shall accommodate target market country ninety point zero survey respondent target market country find language product acceptable ,SC
product shall able display calendar date time according user locale ninety point zero survey respondent target market country find date time formatting product correct ,US
product must developed j2se j2ee programming language library ,O
recreation inventory quantity adjustment period previous thirty point zero day shall take thirty point zero min ,PE
system shall allow minimum six point zero user work time ,PE
system shall utilize currently owned computer equipment ,O
system shall able automatically backup business data restore demand ,O
system shall maintain consistent security change user password permission take affect part system ,SE
system shall granularly control access right major subsystem possible assign access right subsystem independently ,SE
system shall meet applicable accounting standard final version system must successfully pas independent audit performed certified auditor ,L
system shall require additional third party license resulting royalty fee ,O
administrator shall able activate prepaid card via administration section five point zero second ,PE
customer shall able check status prepaid card entering pin number five point zero second ,PE
system shall let customer register website pay go user five point zero minute ,PE
system shall let customer register website unlimited movie subscriber user ten point zero minute ,PE
system shall let existing customer log website email address password five point zero second ,PE
system shall let customer cancel account process shall take longer two point zero minute database mark account inactive user able log website ,PE
system shall let administrator deactivate customer account one point zero minute customer longer able access website ,PE
system shall let administrator add remove movie website five point zero minute entered movie information stored database available website ,PE
system shall let administrator add remove category website five point zero minute ,PE
system shall let izogn manager access sale usage statistic two point zero minute ,PE
system shall let administrator generate unique prepaid pin two point zero minute generate excel file generated pin ,PE
website shall attractive audience website shall appear fun color bright vibrant ,LF
website african feel alienate nonafricans website use animation page describing service grab user attention encourage sign ,LF
website design modern clean concise ,LF
product able used ninety point zero novice user internet ,US
user navigate maximum four point zero page create account website ,US
user able access streaming movie two point zero click logging website ,US
anonymous survey show seventy point zero customer comfortable purchasing streaming movie two point zero week using website ,US
anonymous survey show ninety-five point zero customer comfortable using purchasing prepaid card month using system ,US
product shall retain customer buying preference information ,US
product shall easy customer novice skill internet purchase watch streaming movie customer able purchase watch predetermined movie three point zero minute ,US
product shall use symbol word naturally understandable user familiar website ,US
website use standard internet convention interacting user ,US
interface user automated system shall maximum response time five point zero second unless noted exception ,PE
purchasing streaming movie prepaid card via credit card processing time maximum response time fifteen point zero second ,PE
streaming movie buffering time take longer ten point zero second plus latency user connection ,PE
streaming movie buffering occur latency user connection ,PE
credit card information secured server accessible authorized izogn administrator information encrypted database ,SE
website shall available use twenty-four point zero hour per day three hundred and sixty-five point zero day per year ,A
movie shall streamed demand time day ,A
website shall continue operate streaming server go ,FT
website shall continue operate payment gateway go ,FT
streaming server support fifty point zero simultaneous streaming connection ,SC
website shall capable supporting one hundred thousand point zero customer ,SC
product shall expected operate within maximum maintenance budget minimum two point zero year ,MN
aspect website shall accessed web browser internet ,O
hardware supporting current website used support new system ,O
must able interface following browser ie 5x sixty point zero netscape 6x 7x 8x firefox ten point zero ,O
website must interface cybersource api process credit card transaction ,O
website must fully operational msn tv2 ,O
movie shall encoded streamed via window medium player ninety point zero ,O
movie shall encoded fifty-six point zero k two hundred and fifty-six point zero k stream ,O
promotional update website take day update ,MN
izogn administrator must able update category listing website within two point zero minute ,PE
izogn administrator must able add new product website within two point zero minute ,PE
system provide twenty-four point zero hour eight hundred point zero toll free number support customer ,A
website provide help section answer solution common problem ,US
velkat staff available phone support 7am7pm mf provide technical support izogn administrator ,A
product shall able installed specified environment within one point zero working day ,O
registered customer purchase streaming movie ,SE
customer stream movie purchased within two point zero day viewing period ,SE
authorized personnel access customer record database ,SE
administrator activate prepaid card ,SE
authorized personnel access sale information ,SE
website shall prevent data corrupted incorrect data entered ,SE
website shall protect intentional abuse notify administrator occurrence ,SE
data integrity script run weekly basis verify integrity database ,SE
website shall make user aware information practice collection data via privacy policy accessible page website ,SE
system shall notify customer change information policy ,SE
system shall reveal private information compliance organization information policy ,SE
customer information stored secure database accessible authorized personnel ,SE
credit card information encrypted database ,SE
streaming server antivirus software prevent infection malicious virus ,SE
website cater tribe nigeria ,LF
website shall offensive religious ethnic group ,LF
website appeal african nigerian ,LF
website use flash provide animation home page ,O
izognmovies shall meet licensing requirement set forth appropriate organization order stream african movie ,L
website comply w3c standard ,L
php code comply pear standard ,L
total lead cycle time must completed five point zero minute ninety point zero lead volume business hour 8am cst 8pm cst three point zero minute ninety-nine point zero lead volume business hour ,PE
lead evaluation complete time period longer twenty-five point zero second ninety-seven point zero lead processed ,PE
lead process longer twenty-five point zero second system record event duration ,PE
process must fit within processing time condition set forth auto rep assignment process lead assigned within three point zero minute total life cycle ,PE
lead washing process operate within established physical web service structure ,O
washing process must use non binding neutral data format xml receiving processing lead data ,O
defect report available technical unit 24x7 basis ,A
product shall simulate look ship sea ,LF
product shall display grid within circle view periscope ,LF
product shall display type ship grid using image specific type ship ,LF
offensive player take shot product shall simulate sound ship sea ,LF
shot marked miss product shall simulate sound shot missing target ,LF
shot marked hit product shall simulate sound shot hitting target ,LF
ship sunk product shall simulate sound sinking ship ,LF
product shall available twenty-four point zero hour per day seven day per week ,A
product shall able handle large number game simultaneously ,PE
response time shall fast enough maintain flow game response time shall two point zero second ninety-five point zero response four point zero remaining response ,PE
product shall protect identity player product shall provide player access information might reveal identity another player ,PE
product shall intuitive selfexplanatory nine ten user shall able successfully complete game training ,US
product shall available player understand english spanish french product shall allow user select language upon accessing product ,US
product shall provide player access information might reveal identity another player ,SE
response time shall fast enough maintain flow game response time shall two point zero second ninety-five point zero response four point zero remaining response ,PE
system shall easy use caller supervisor caller supervisor must able accomplish system task within two point zero minute ,US
system shall easy learn caller supervisor caller supervisor shall learn use system within ten point zero minute ,US
system shall responsive depaul teleservices center supervisor us system view caller schedule system response time must two point zero second ninety point zero time five point zero second rest time ,PE
56k connection system response time operation must six point zero second ninety point zero time ,PE
one hundred and twelve point zero k connection faster system response time operation must three point zero second ninety point zero time ,PE
"system shall high availability every day year system must available use one thousand, two hundred point zero six hundred point zero pm day year ",A
"system must available use seven hundred point zero one thousand, one hundred and fifty-nine point zero pm day year ",A
product shall ensure supervisor advertise empty time slot product must ensure supervisor allowed access advertise empty time slot ,SE
product shall ensure supervisor enter caller schedule product must ensure supervisor allowed access advertise empty time slot ,SE
product shall ensure supervisor view schedule caller product must ensure supervisor allowed access advertise empty time slot ,SE
interface shall simple look interface usability survey ninety point zero beta tester must report interface adequately simple ,LF
interface shall appealing caller supervisor interface usability survey eighty point zero beta tester must report interface appealing ,LF
product shall provide gui based monitoring servicessystem administrator shall monitor message exchange predict determine problem also provide internal external support ,LF
product shall comply city chicago application development guide frameworkapplication development framework provide structured graphical user interface ,LF
product shall provide monitoring servicesthe product shall easy system administrator dba use two week usage ,US
product shall provide error tracking servicesthe product shall help system administrator dba resolve transaction error ninety-nine point zero time ,US
product shall provide portalsthe product shall help system administrator analyze transaction adhoc reporting kpis key performance indicator ,US
product shall provide asynchronous messaging product shall provide asynchronous messaging enable parallel processing reduce overhead communication ,PE
product shall provide multithreading load balancing product shall provide multithreading technology well load balancing overcome data load spike traffic ,PE
product shall process message within two point zero second product shall maximum message processing time two point zero second ,PE
product shall poll system message every second product shall poll system new message maximum every one point zero second ,PE
product shall provide dynamic change support transparent resource addition product shall support transparent resource addition dynamic change support provide scalability avoid service interruption one point zero day ,PE
"product shall available ninety-nine point zero time rationale avoid service interruption busiest customer service response period product shall available nine thousand, nine hundred and ninety-nine point zero time regular business day ",A
product shall able process transaction product shall process minimum one point zero million transaction per year ,SC
product shall platform independent product shall enable access type development environment platform ,O
product shall interface csr datastream product shall exchange message csr eam real time basis without direct interface two system ,O
product shall continue operate upgrade change new resource addition product shall able continue operate interruption service due new resource addition ,MN
product shall updated regular basis product new major feature introduced every six month quarterly maintenance release every six month ,MN
product shall operate every platform product shall accommodate new technology without change architecture ,MN
product shall securitythe product shall provide authentication authorization ,SE
product shall information security product shall enable privacy encryption wssecurity integrity checking ,SE
product shall audit capability product shall store message minimum one year audit transaction tracking purpose ,SE
system shall use ibm ccr branding standard interface must one ibm logo one ccr logo ,LF
system shall displayable work computer ccr user may system interface shall formatted display eight hundred point zero six hundred point zero pixel resolution ,LF
system interface use ccr nomenclature system must use nomenclature used existing wcs system report ,LF
interface must summarize data fashion thats appealing ccr management every report type must least one high level summary shown result dashboard interface ,LF
system must use point click interface one hundred point zero selection navigation functionality must able activated selected either mouse keyboard ,US
interface shall easy use ninety point zero user able successfully use system generate report first use interface adhere ibm usability standard ,US
rreports must easy generate eports must generated within one button click exported within one button click selecting report ,US
user shall able use system without instruction short amount time one use user understand remember ninety point zero system usage navigation ,US
ccr user shall receive training wcs system deployed one training session held one hundred point zero ccr user system deployment based ccr user available ,US
wcs system shall use appropriate nomenclature terminology defined corporate community grant organization interface report undergo usability test ccr user ,US
wcs system shall available time long ibms internal intranet w3 accessible wcs system available ninety-five point zero time ibms internal intranet w3 available ,A
wcs system shall ability connect designated wcs database currently included system ,SC
wcs system shall ability include data region outside united state accessed user outside united state approved ccr management ,SC
wcs system shall run window environment wcs shall accessed user internet ibm computer running window two thousand point zero operating system ,O
brio portion wcs system must able export file spreadsheet form microsoft excel lotus one hundred and twenty-three point zero format brio provide button user interface produce export report xl one hundred and twenty-three point zero file format ,O
wcs system must run query wcs database specified day update available data available ccr user query must made external database data refresh week ,MN
change update addition wcs system shall updated wcs developer wcs user guide every change must reflected wcs system documentation ,MN
system shall accessed authorized corporate community grant ccr employee user must authenticated using ibm intranet user name password ,SE
wcs system shall allow automatic logins user cooky containing wcs login information user stored user computer ,SE
team owner need use username password order authenticated reach team owner page ,SE
commissioner authorized user per league adjust league setting ,SE
page shall contain navigation menu show index current page contained ,LF
page shall contain similar format action item one location navigation button different location ,LF
message board shall contain five point zero recently posted message league page message contain first one hundred and fifty point zero character message ,LF
new user shall able navigate league team page within thirty point zero second reaching startup page ,US
user shall able reach add drop trade player page one click team owner page ,US
user shall able view least twenty-five point zero nfl player statistic point page ,US
application shall ask user confirm dropping player trading player performing action ,US
application shall able complete every user transaction within one fourth second receiving request network ,PE
application shall downtime ten point zero minute per year ,A
application shall run web application server ,O
primary database used store cached data active user ,O
secondary database used store historical statistic data ,O
application update shall occur 3am six point zero cst wednesday morning middle nfl season ,MN
new system version release shall released beginning nfl season ,MN
rf system available twenty-four point zero seven point zero especially budgeting period rf system shall available ninety point zero time year ninety-eight point zero budgeting period two point zero time system become available within one point zero hour time situation reported ,A
ninety-eight point zero user workstation shall meet minimum hardware requirement prior implementation minimum hard disk space four hundred point zero mb ,O
ninety-eight point zero user workstation shall meet minimum software requirement prior implementation microsoft internet explorer fifty point zero microsoft net framework eleven point zero microsoft internet explorer web control ,O
change revenue expense formula must applied rf system every year prior budgeting process start revenue expense formula updated within one week receipt two point zero week allotted testing budget calculation conducted jointly project development team pcg finance ,MN
new branch complex district region revenue expense account added bdw must reflected rf system one hundred point zero entity mentioned available october monthend loaded rf system prior budget start process ,MN
authorized user shall access rf system user exist uas system rf system assigned role shall access rf system use ,SE
user access limited permission granted role level pcg hierarchy assigned role user assigned role access functionality within rf system dependent privilege permission assigned role ,SE
product must comply intranet page standard requirement enet security ninety-five point zero product look feel approved architecture group prior implementation remaining five point zero corrected approved within one month product release ,LF
intranet page display appropriately resolution eight hundred point zero x six hundred point zero higher display page correct ninety-five point zero resolution prior implementation remaining five point zero corrected within week notification incorrect display ,LF
user able easily use system successfully complete budget within stipulated time completion week training prior product implementation ninety-eight point zero user shall complete budget within stipulated time ,US
product interface fast response time product interface exceed two point zero second ninety point zero time ten point zero time response time ten point zero second ten point zero second ,PE
dispute application must conform legal requirement specified merchant operating regulation ,L
system shall refresh display every sixty point zero second ,PE
projected data must readable ten point zero x ten point zero projection screen ninety point zero viewer must able read event activity data viewing distance thirty point zero ,US
product shall available normal business hour long user access client pc system available ninety-nine point zero time first six month operation ,A
projected data must understandable ten point zero x ten point zero projection screen ninety point zero viewer must able determine event activity occuring current time viewing distance one hundred point zero ,US
product shall ensure accessed authorized user product able distinguish authorized unauthorized user access attempt ,SE
product shall intuitive selfexplanatory ninety point zero new user shall able start display event activity within ninety point zero minute using product ,US
product shall respond fast keep uptodate data display ,PE
look feel system shall conform user interface standard smart device ,LF
user interface shall standard menu button navigation ,LF
system shall professional appearance ,LF
system shall used realtor training ,US
product shall use symbol word naturally understandable realtor community ,US
product shall produce search result acceptable time ,PE
cma report shall returned later sixty point zero second user entered cma report criterion ,PE
product shall synchronize contact appointment acceptable time ,PE
product shall synchronize office system every hour ,PE
product shall available use twenty-four point zero hour per day three hundred and sixty-five point zero day per year ,A
one thousand point zero access system system available nine hundred and ninety-nine point zero time ,A
product shall operate offline mode whenever internet connection unavailable ,FT
product shall allow user view previously downloaded search result cma report appointment ,FT
product shall retain user preference event failure ,FT
one hundred point zero saved user preference shall restored system come back online ,FT
product shall able support multiple remote user ,SC
product shall able support one thousand point zero simultaneous user ,SC
product shall capable handling existing one thousand point zero user number expected grow five point zero time within next year ,SC
product shall installed untrained realtor without recourse separatelyprinted instruction ,US
ninety point zero untrained realtor shall able install product device without printed instruction ,US
registered realtor shall able access system ,SE
every user system shall authenticated authorized ,SE
product shall prevent data incorrect data introduced ,SE
system shall easy use program administrator nursing staff member ,US
user shall able use system one day training ,US
system shall help user avoid making mistake scheduling class clinicals nursing student ,US
number mistake noted student shall decreased fifty point zero first year ,US
system shall intuitive program administrator nursing staff member ,US
two point zero three point zero program administrator nursing staff member shall successfully able use system manage scheduling class clinicals ,US
system shall use symbol word naturally understandable user community ,US
verbiage used within system shall consistent standard english terminology national nursing community ,US
staff member shall able complete set task timely manner ,PE
response time general student management task shall take longer five point zero second response time schedule generation shall take longer thirty point zero second ,PE
system shall available use hour 8am 6pm ,A
system shall achieve ninety-five point zero time ,A
system shall able handle user request usage business hour ,SC
system shall cater ten point zero simultaneous user 9am 5pm ,SC
system shall capable processing one hundred point zero nursing student class next ten point zero year ,SC
system shall expected manage nursing program curriculum class clinical scheduling minimum five point zero year ,SC
system shall able operate within business office environment typical nursing department depaul university ,O
system shall used within specification defined computer used program administrator nursing staff member ,O
system shall operate within window xp professional operating system ,O
system shall interface campusconnects central server ,O
system shall interface faculty central server ,O
system shall interface student master server ,O
must able interface html browser ,O
authorized user shall access clinical site information ,SE
program administrator nursing staff member people shall access clinical site detail ,SE
authorized user shall access student personal information ,SE
dr susan poslusny dr julie donalek people shall access student personal information ,SE
authorized user shall access portion system interface campusconnect ,SE
fit criterion dr susan poslusny karen sysol people shall access final class section scheduling system interface campusconnect ,SE
system shall basic data integrity checking reduce possibility incorrect invalid data introduced ,SE
system shall protect private information accordance organization information policy ,SE
system shall built secure possible malicious interference ,SE
system shall use organization standard virus protection software help monitor threat ,SE
dispute application shall comply corporate standard user interface creation internally externally used application ,LF
screen created part dispute application must comply corporate standard interface creation ,LF
list dispute case displayed search performed must color coded easy identification dispute case based upon dispute case status ,US
one hundred point zero card member merchant service representative shall use dispute application regularly two point zero day training course ,US
one hundred point zero cardmember service representative shall able successfully create dispute case first encounter completing training course ,US
one hundred point zero merchant service representative shall able successfully perform follow action dispute case first encounter completing training course ,US
maximum wait time user navigating one screen another within dispute application shall five point zero second ,PE
dispute application shall support three hundred and fifty point zero concurrent user without degradation performance application ,PE
dispute application shall available twenty-four point zero x seven point zero x three hundred and sixty-five point zero exception following scheduled maintenance window monday saturday three hundred point zero four hundred point zero est sunday one hundred point zero amd five hundred point zero est ,O
dispute application shall interface statement database statement database provides transaction detail dispute system transaction detail must obtained statement database ,O
dispute application shall interface cardmember information database cardmember information database provides detailed information regard cardmember cardmember detail information must obtained cardmember information database ,O
dispute application shall interface merchant information database merchant information database provides detailed information regard merchant merchant detail information shall obtained merchant information database ,O
dispute application shall interface letter application allow dispute application request letter part dispute initiation dispute follow process letter request must sent print letter utility application ,O
dispute application shall interface cardmember posting billing system allow dispute application request adjustment cardmember merchant account adjustment request must sent cardmember posting billing system ,O
dispute application shall ensure user appropriate access level allowed initiate dispute request ,SE
user update access must able initiate dispute request ,SE
dispute application shall ensure authorized user allowed logon application ,SE
authorized user authenticated must able logon dispute system ,SE
dispute system shall generate user report detail new user added change existing user access level report reviewed auditing purpose ,SE
addition new user modification user access shall recorded user report ,SE
user account revoked reinstantiated system administrator ,SE
system administrator shall able reset revoked user logon account ,SE
dispute application shall manipulate view business data user direct access data file database ,SE
update data file database must initiated dispute system ,SE
dispute application must conform legal requirement specified merchant operating regulation ,L
business rule specified dispute system shall compliance merchant operating regulation ,L
dispute application must conform legal requirement specified regulation e regulation z govern credit card dispute processing ,L
business rule specified dispute system shall compliance guideline regulation e regulation z ,L
dispute application must maintain detailed history every action user take dispute case ensures complete audit trail question arise later regard particular dispute case ,L
product must support internet explorer fifty-five point zero ,O
product must support mozilla firefox ten point zero ,O
product shall interface choice part system provides feed recycled part data ,O
product shall run existing hardware environment ,O
product shall adhere corporate architecture guideline ,O
product shall comply corporate user interface guideline ,LF
product shall comply corporate color scheme ,LF
appearance product shall appear professional ,LF
product shall easy use adjuster collision estimator ninety-five point zero adjuster collision estimator shall find product easy use ,US
product shall increase productivity collision estimator eighty point zero collision estimator shall agree productivity increase within one point zero month using product ,US
user shall feel satisfied using product eighty-five point zero user satisfied product ,US
product shall easy learn adjuster collision estimator product shall learned two day onsite training ,US
user shall easily locate instruction using product user help found within ninety point zero system ,US
search recycled part shall take longer fifteen point zero second search result shall returned fifteen point zero second ,PE
search preferred repair facility shall take longer eight point zero second preferred repair facility returned within eight point zero second ,PE
recycled part audit report shall returned user within ten point zero second audit report shall returned within ten point zero second ,PE
preferred repair facility rating shall saved within five point zero second save shall occur within five point zero second ,PE
product shall adhere corporate online availability schedule application brought within ninety-eight point zero scheduled outage per availability schedule ,A
"product shall able handle one thousand, five hundred point zero simultaneous user system shall perform one thousand, five hundred point zero user time ",SC
average number recycled part record per day shall fifty thousand point zero ,SC
product shall able handle ten thousand point zero concurrent user within two point zero year initial launch ,SC
estimator product shall able operated repair facility dirty noisy condition ,O
product shall supported using corporate support center ,O
product installation upgrade shall handled middleware technology team within established launch time frame ,O
adjuster request recycled part audit report user without adjuster role shall request recycled part audit ,SE
adjuster supervisor role update preferred repair facility rating user without supervisor role can not access repair facility rating ,SE
collision estimator shall search recycled part user without collision estimator role shall access search recycled part ,SE
